light_id,x_coordinate,y_coordinate
supercalifragilisticexpealidigital:1-0,21.5,0
supercalifragilisticexpealidigital:1-1,21.5,1.5
supercalifragilisticexpealidigital:1-2,21.5,3
supercalifragilisticexpealidigital:1-3,21.5,4.5
supercalifragilisticexpealidigital:1-4,21.5,6
supercalifragilisticexpealidigital:1-5,21.5,7.5
supercalifragilisticexpealidigital:1-6,21.5,9
supercalifragilisticexpealidigital:1-7,21.5,10.5
supercalifragilisticexpealidigital:1-8,21.5,12
supercalifragilisticexpealidigital:1-9,21.5,13.5
supercalifragilisticexpealidigital:1-10,21.5,15
supercalifragilisticexpealidigital:1-11,21.5,16.5
supercalifragilisticexpealidigital:1-12,21.5,18
supercalifragilisticexpealidigital:1-13,21.5,19.5
supercalifragilisticexpealidigital:1-14,21.5,21
supercalifragilisticexpealidigital:1-15,21.5,22.5
supercalifragilisticexpealidigital:1-16,21.5,24
supercalifragilisticexpealidigital:1-17,21.5,25.5
supercalifragilisticexpealidigital:1-18,21.5,27
supercalifragilisticexpealidigital:1-19,21.5,28.5
supercalifragilisticexpealidigital:1-20,21.5,30
supercalifragilisticexpealidigital:1-21,21.5,31.5
supercalifragilisticexpealidigital:1-22,21.5,33
supercalifragilisticexpealidigital:1-23,21.5,34.5
supercalifragilisticexpealidigital:1-24,21.5,36
supercalifragilisticexpealidigital:1-25,21.5,37.5
supercalifragilisticexpealidigital:1-26,21.5,39
supercalifragilisticexpealidigital:1-27,21.5,40.5
supercalifragilisticexpealidigital:1-28,21.5,42
supercalifragilisticexpealidigital:1-29,21.5,43.5
supercalifragilisticexpealidigital:1-30,21.5,45
supercalifragilisticexpealidigital:1-31,21.5,46.5
supercalifragilisticexpealidigital:1-32,21.5,48
supercalifragilisticexpealidigital:1-33,21.5,49.5
supercalifragilisticexpealidigital:1-34,21.5,51
supercalifragilisticexpealidigital:1-35,21.5,52.5
supercalifragilisticexpealidigital:1-36,21.5,54
supercalifragilisticexpealidigital:1-37,21.5,55.5
supercalifragilisticexpealidigital:1-38,21.5,57
supercalifragilisticexpealidigital:1-39,21.5,58.5
supercalifragilisticexpealidigital:1-40,21.5,60
supercalifragilisticexpealidigital:1-41,21.5,61.5
supercalifragilisticexpealidigital:1-42,21.5,63
supercalifragilisticexpealidigital:1-43,21.5,64.5
supercalifragilisticexpealidigital:1-44,21.5,66
supercalifragilisticexpealidigital:1-45,21.5,67.5
supercalifragilisticexpealidigital:1-46,21.5,69
supercalifragilisticexpealidigital:1-47,21.5,70.5
supercalifragilisticexpealidigital:1-48,21.5,72
supercalifragilisticexpealidigital:1-49,21.5,73.5
supercalifragilisticexpealidigital:1-50,21.5,75
supercalifragilisticexpealidigital:1-51,21.5,76.5
supercalifragilisticexpealidigital:1-52,21.5,78
supercalifragilisticexpealidigital:1-53,21.5,79.5
supercalifragilisticexpealidigital:1-54,21.5,81
supercalifragilisticexpealidigital:1-55,21.5,82.5
supercalifragilisticexpealidigital:1-56,21.5,84
supercalifragilisticexpealidigital:1-57,21.5,85.5
supercalifragilisticexpealidigital:1-58,21.5,87
supercalifragilisticexpealidigital:1-59,21.5,88.5
supercalifragilisticexpealidigital:1-60,21.5,90
supercalifragilisticexpealidigital:1-61,21.5,91.5
supercalifragilisticexpealidigital:1-62,21.5,93
supercalifragilisticexpealidigital:1-63,21.5,94.5
supercalifragilisticexpealidigital:1-64,21.5,96
supercalifragilisticexpealidigital:1-65,23,96
supercalifragilisticexpealidigital:1-66,24.5,96
supercalifragilisticexpealidigital:1-67,26,96
supercalifragilisticexpealidigital:1-68,27.5,96
supercalifragilisticexpealidigital:1-69,29,96
supercalifragilisticexpealidigital:1-70,30.5,96
supercalifragilisticexpealidigital:1-71,32,96
supercalifragilisticexpealidigital:1-72,33.5,96
supercalifragilisticexpealidigital:1-73,35,96
supercalifragilisticexpealidigital:1-74,36.5,96
supercalifragilisticexpealidigital:1-75,38,96
supercalifragilisticexpealidigital:1-76,39.5,96
supercalifragilisticexpealidigital:1-77,41,96
supercalifragilisticexpealidigital:1-78,42.5,96
supercalifragilisticexpealidigital:1-79,44,96
supercalifragilisticexpealidigital:1-80,45.5,96
supercalifragilisticexpealidigital:1-81,47,96
supercalifragilisticexpealidigital:1-82,48.5,96
supercalifragilisticexpealidigital:1-83,50,96
supercalifragilisticexpealidigital:1-84,51.5,96
supercalifragilisticexpealidigital:1-85,53,96
supercalifragilisticexpealidigital:1-86,54.5,96
supercalifragilisticexpealidigital:1-87,56,96
supercalifragilisticexpealidigital:1-88,57.5,96
supercalifragilisticexpealidigital:1-89,59,96
supercalifragilisticexpealidigital:1-90,60.5,96
supercalifragilisticexpealidigital:1-91,62,96
supercalifragilisticexpealidigital:1-92,63.5,96
supercalifragilisticexpealidigital:1-93,65,96
supercalifragilisticexpealidigital:1-94,65,94.5
supercalifragilisticexpealidigital:1-95,65,93
supercalifragilisticexpealidigital:1-96,65,91.5
supercalifragilisticexpealidigital:1-97,65,90
supercalifragilisticexpealidigital:1-98,65,88.5
supercalifragilisticexpealidigital:1-99,65,87
supercalifragilisticexpealidigital:1-100,65,85.5
supercalifragilisticexpealidigital:1-101,65,84
supercalifragilisticexpealidigital:1-102,65,82.5
supercalifragilisticexpealidigital:1-103,65,81
supercalifragilisticexpealidigital:1-104,65,79.5
supercalifragilisticexpealidigital:1-105,65,78
supercalifragilisticexpealidigital:1-106,65,76.5
supercalifragilisticexpealidigital:1-107,65,75
supercalifragilisticexpealidigital:1-108,65,73.5
supercalifragilisticexpealidigital:1-109,65,72
supercalifragilisticexpealidigital:1-110,65,70.5
supercalifragilisticexpealidigital:1-111,65,69
supercalifragilisticexpealidigital:1-112,65,67.5
supercalifragilisticexpealidigital:1-113,65,66
supercalifragilisticexpealidigital:1-114,65,64.5
supercalifragilisticexpealidigital:1-115,65,63
supercalifragilisticexpealidigital:1-116,65,61.5
supercalifragilisticexpealidigital:1-117,65,60
supercalifragilisticexpealidigital:1-118,65,58.5
supercalifragilisticexpealidigital:1-119,65,57
supercalifragilisticexpealidigital:1-120,65,55.5
supercalifragilisticexpealidigital:1-121,65,54
supercalifragilisticexpealidigital:1-122,65,52.5
supercalifragilisticexpealidigital:1-123,65,51
supercalifragilisticexpealidigital:1-124,65,49.5
supercalifragilisticexpealidigital:1-125,65,48
supercalifragilisticexpealidigital:1-126,65,46.5
supercalifragilisticexpealidigital:1-127,65,45
supercalifragilisticexpealidigital:1-128,65,43.5
supercalifragilisticexpealidigital:1-129,65,42
supercalifragilisticexpealidigital:1-130,65,40.5
supercalifragilisticexpealidigital:1-131,65,39
supercalifragilisticexpealidigital:1-132,65,37.5
supercalifragilisticexpealidigital:1-133,65,36
supercalifragilisticexpealidigital:1-134,65,34.5
supercalifragilisticexpealidigital:1-135,65,33
supercalifragilisticexpealidigital:1-136,65,31.5
supercalifragilisticexpealidigital:1-137,65,30
supercalifragilisticexpealidigital:1-138,65,28.5
supercalifragilisticexpealidigital:1-139,65,27
supercalifragilisticexpealidigital:1-140,65,25.5
supercalifragilisticexpealidigital:1-141,65,24
supercalifragilisticexpealidigital:1-142,65,22.5
supercalifragilisticexpealidigital:1-143,65,21
supercalifragilisticexpealidigital:1-144,65,19.5
supercalifragilisticexpealidigital:1-145,65,18
supercalifragilisticexpealidigital:1-146,65,16.5
supercalifragilisticexpealidigital:1-147,65,15
supercalifragilisticexpealidigital:1-148,65,13.5
supercalifragilisticexpealidigital:1-149,65,12
supercalifragilisticexpealidigital:1-150,65,10.5
supercalifragilisticexpealidigital:1-151,65,9
supercalifragilisticexpealidigital:1-152,65,7.5
supercalifragilisticexpealidigital:1-153,65,6
supercalifragilisticexpealidigital:1-154,65,4.5
supercalifragilisticexpealidigital:1-155,65,3
supercalifragilisticexpealidigital:1-156,65,1.5
supercalifragilisticexpealidigital:2-0,0,0
supercalifragilisticexpealidigital:2-1,0,1.5
supercalifragilisticexpealidigital:2-2,0,3
supercalifragilisticexpealidigital:2-3,0,4.5
supercalifragilisticexpealidigital:2-4,0,6
supercalifragilisticexpealidigital:2-5,0,7.5
supercalifragilisticexpealidigital:2-6,0,9
supercalifragilisticexpealidigital:2-7,0,10.5
supercalifragilisticexpealidigital:2-8,0,12
supercalifragilisticexpealidigital:2-9,0,13.5
supercalifragilisticexpealidigital:2-10,0,15
supercalifragilisticexpealidigital:2-11,0,16.5
supercalifragilisticexpealidigital:2-12,0,18
supercalifragilisticexpealidigital:2-13,0,19.5
supercalifragilisticexpealidigital:2-14,0,21
supercalifragilisticexpealidigital:2-15,0,22.5
supercalifragilisticexpealidigital:2-16,0,24
supercalifragilisticexpealidigital:2-17,0,25.5
supercalifragilisticexpealidigital:2-18,0,27
supercalifragilisticexpealidigital:2-19,0,28.5
supercalifragilisticexpealidigital:2-20,0,30
supercalifragilisticexpealidigital:2-21,0,31.5
supercalifragilisticexpealidigital:2-22,0,33
supercalifragilisticexpealidigital:2-23,0,34.5
supercalifragilisticexpealidigital:2-24,0,36
supercalifragilisticexpealidigital:2-25,0,37.5
supercalifragilisticexpealidigital:2-26,0,39
supercalifragilisticexpealidigital:2-27,0,40.5
supercalifragilisticexpealidigital:2-28,0,42
supercalifragilisticexpealidigital:2-29,0,43.5
supercalifragilisticexpealidigital:2-30,0,45
supercalifragilisticexpealidigital:2-31,0,46.5
supercalifragilisticexpealidigital:2-32,0,48
supercalifragilisticexpealidigital:2-33,0,49.5
supercalifragilisticexpealidigital:2-34,0,51
supercalifragilisticexpealidigital:2-35,0,52.5
supercalifragilisticexpealidigital:2-36,0,54
supercalifragilisticexpealidigital:2-37,0,55.5
supercalifragilisticexpealidigital:2-38,0,57
supercalifragilisticexpealidigital:2-39,0,58.5
supercalifragilisticexpealidigital:2-40,0,60
supercalifragilisticexpealidigital:2-41,0,61.5
supercalifragilisticexpealidigital:2-42,0,63
supercalifragilisticexpealidigital:2-43,0,64.5
supercalifragilisticexpealidigital:2-44,0,66
supercalifragilisticexpealidigital:2-45,0,67.5
supercalifragilisticexpealidigital:2-46,0,69
supercalifragilisticexpealidigital:2-47,0,70.5
supercalifragilisticexpealidigital:2-48,0,72
supercalifragilisticexpealidigital:2-49,0,73.5
supercalifragilisticexpealidigital:2-50,0,75
supercalifragilisticexpealidigital:2-51,0,76.5
supercalifragilisticexpealidigital:2-52,0,78
supercalifragilisticexpealidigital:2-53,0,79.5
supercalifragilisticexpealidigital:2-54,0,81
supercalifragilisticexpealidigital:2-55,0,82.5
supercalifragilisticexpealidigital:2-56,0,84
supercalifragilisticexpealidigital:2-57,0,85.5
supercalifragilisticexpealidigital:2-58,0,87
supercalifragilisticexpealidigital:2-59,0,88.5
supercalifragilisticexpealidigital:2-60,0,90
supercalifragilisticexpealidigital:2-61,0,91.5
supercalifragilisticexpealidigital:2-62,0,93
supercalifragilisticexpealidigital:2-63,0,94.5
supercalifragilisticexpealidigital:2-64,0,96
supercalifragilisticexpealidigital:2-65,0,97.5
supercalifragilisticexpealidigital:2-66,0,99
supercalifragilisticexpealidigital:2-67,0,100.5
supercalifragilisticexpealidigital:2-68,0,102
supercalifragilisticexpealidigital:2-69,0,103.5
supercalifragilisticexpealidigital:2-70,0,105
supercalifragilisticexpealidigital:2-71,0,106.5
supercalifragilisticexpealidigital:2-72,0,108
supercalifragilisticexpealidigital:2-73,0,109.5
supercalifragilisticexpealidigital:2-74,0,111
supercalifragilisticexpealidigital:2-75,0,112.5
supercalifragilisticexpealidigital:2-76,0,114
supercalifragilisticexpealidigital:2-77,0,115.5
supercalifragilisticexpealidigital:2-78,0,117
supercalifragilisticexpealidigital:2-79,0,118.5
supercalifragilisticexpealidigital:2-80,0,120
supercalifragilisticexpealidigital:2-81,0,121.5
supercalifragilisticexpealidigital:2-82,0,123
supercalifragilisticexpealidigital:2-83,0,124.5
supercalifragilisticexpealidigital:2-84,0,126
supercalifragilisticexpealidigital:2-85,0,127
supercalifragilisticexpealidigital:2-86,1.5,127
supercalifragilisticexpealidigital:2-87,3,127
supercalifragilisticexpealidigital:2-88,4.5,127
supercalifragilisticexpealidigital:2-89,6,127
supercalifragilisticexpealidigital:2-90,7.5,127
supercalifragilisticexpealidigital:2-91,9,127
supercalifragilisticexpealidigital:2-92,10.5,127
supercalifragilisticexpealidigital:2-93,12,127
supercalifragilisticexpealidigital:2-94,13.5,127
supercalifragilisticexpealidigital:2-95,15,127
supercalifragilisticexpealidigital:2-96,16.5,127
supercalifragilisticexpealidigital:2-97,18,127
supercalifragilisticexpealidigital:2-98,19.5,127
supercalifragilisticexpealidigital:2-99,21,127
supercalifragilisticexpealidigital:2-100,22.5,127
supercalifragilisticexpealidigital:2-101,24,127
supercalifragilisticexpealidigital:2-102,25.5,127
supercalifragilisticexpealidigital:2-103,27,127
supercalifragilisticexpealidigital:2-104,28.5,127
supercalifragilisticexpealidigital:2-105,30,127
supercalifragilisticexpealidigital:2-106,31.5,127
supercalifragilisticexpealidigital:2-107,33,127
supercalifragilisticexpealidigital:2-108,34.5,127
supercalifragilisticexpealidigital:2-109,36,127
supercalifragilisticexpealidigital:2-110,37.5,127
supercalifragilisticexpealidigital:2-111,39,127
supercalifragilisticexpealidigital:2-112,40.5,127
supercalifragilisticexpealidigital:2-113,42,127
supercalifragilisticexpealidigital:2-114,43.5,127
supercalifragilisticexpealidigital:2-115,45,127
supercalifragilisticexpealidigital:2-116,46.5,127
supercalifragilisticexpealidigital:2-117,48,127
supercalifragilisticexpealidigital:2-118,49.5,127
supercalifragilisticexpealidigital:2-119,51,127
supercalifragilisticexpealidigital:2-120,52.5,127
supercalifragilisticexpealidigital:2-121,54,127
supercalifragilisticexpealidigital:2-122,55.5,127
supercalifragilisticexpealidigital:2-123,57,127
supercalifragilisticexpealidigital:2-124,58.5,127
supercalifragilisticexpealidigital:2-125,60,127
supercalifragilisticexpealidigital:2-126,61.5,127
supercalifragilisticexpealidigital:2-127,63,127
supercalifragilisticexpealidigital:2-128,64.5,127
supercalifragilisticexpealidigital:2-129,66,127
supercalifragilisticexpealidigital:2-130,67.5,127
supercalifragilisticexpealidigital:2-131,69,127
supercalifragilisticexpealidigital:2-132,70.5,127
supercalifragilisticexpealidigital:2-133,72,127
supercalifragilisticexpealidigital:2-134,73.5,127
supercalifragilisticexpealidigital:2-135,75,127
supercalifragilisticexpealidigital:2-136,76.5,127
supercalifragilisticexpealidigital:2-137,78,127
supercalifragilisticexpealidigital:2-138,79.5,127
supercalifragilisticexpealidigital:2-139,81,127
supercalifragilisticexpealidigital:2-140,82.5,127
supercalifragilisticexpealidigital:2-141,84,127
supercalifragilisticexpealidigital:2-142,85.5,127
supercalifragilisticexpealidigital:2-143,86.5,127
supercalifragilisticexpealidigital:2-144,86.5,125.5
supercalifragilisticexpealidigital:2-145,86.5,124
supercalifragilisticexpealidigital:2-146,86.5,122.5
supercalifragilisticexpealidigital:2-147,86.5,121
supercalifragilisticexpealidigital:2-148,86.5,119.5
supercalifragilisticexpealidigital:2-149,86.5,118
supercalifragilisticexpealidigital:2-150,86.5,116.5
supercalifragilisticexpealidigital:2-151,86.5,115
supercalifragilisticexpealidigital:2-152,86.5,113.5
supercalifragilisticexpealidigital:2-153,86.5,112
supercalifragilisticexpealidigital:2-154,86.5,110.5
supercalifragilisticexpealidigital:2-155,86.5,109
supercalifragilisticexpealidigital:2-156,86.5,107.5
supercalifragilisticexpealidigital:2-157,86.5,106
supercalifragilisticexpealidigital:2-158,86.5,104.5
supercalifragilisticexpealidigital:2-159,86.5,103
supercalifragilisticexpealidigital:2-160,86.5,101.5
supercalifragilisticexpealidigital:2-161,86.5,100
supercalifragilisticexpealidigital:2-162,86.5,98.5
supercalifragilisticexpealidigital:2-163,86.5,97
supercalifragilisticexpealidigital:2-164,86.5,95.5
supercalifragilisticexpealidigital:2-165,86.5,94
supercalifragilisticexpealidigital:2-166,86.5,92.5
supercalifragilisticexpealidigital:2-167,86.5,91
supercalifragilisticexpealidigital:2-168,86.5,89.5
supercalifragilisticexpealidigital:2-169,86.5,88
supercalifragilisticexpealidigital:2-170,86.5,86.5
supercalifragilisticexpealidigital:2-171,86.5,85
supercalifragilisticexpealidigital:2-172,86.5,83.5
supercalifragilisticexpealidigital:2-173,86.5,82
supercalifragilisticexpealidigital:2-174,86.5,80.5
supercalifragilisticexpealidigital:2-175,86.5,79
supercalifragilisticexpealidigital:2-176,86.5,77.5
supercalifragilisticexpealidigital:2-177,86.5,76
supercalifragilisticexpealidigital:2-178,86.5,74.5
supercalifragilisticexpealidigital:2-179,86.5,73
supercalifragilisticexpealidigital:2-180,86.5,71.5
supercalifragilisticexpealidigital:2-181,86.5,70
supercalifragilisticexpealidigital:2-182,86.5,68.5
supercalifragilisticexpealidigital:2-183,86.5,67
